B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
EO0046,Fasae,2016,Tropical and Subtropical Agroecosystems,,http://www.revista.ccba.uady.mx/ojs/index.php/TSA/article/view/2224
EO0047,Manhique,2017,Livestock Research for Rural Development,,www.researchgate.net/publication/316188390
EO0057,Berhanu,2013,Agriculture and Natural Resources,,li01.tci-thaijo.org/index.php/anres/article/view/243030
EO0074,Gelgelo,2017,Livestock Research for Rural Development,,www.lrrd.org/lrrd29/4/atta29077.html
EO0078,Hintsa,2015,Livestock Research for Rural Development,,www.lrrd.org/lrrd27/9/kida27180.html
EO0086,Nesseim,2017,Tropicultura,,www.researchgate.net/publication/320435263_Effects_of_defatting_combined_or_not_to_heating_of_Jatropha_curcas_kernel_meal_on_feed_intake_and_growth_performance_in_broiler_chickens_and_chicks_in_Senegal
EO0102,Bertine,2013,Livestock Research for Rural Development,,www.lrrd.org/lrrd25/8/noum25145.htm
HK0005,Abasiekong,1991,Archiv Fur Tierernahrung-Archives of Animal Nutrition,10.1080/17450399109428459,
HK0006,Abegunde,2010,Journal of Animal Physiology and Animal Nutrition,10.1111/j.1439-0396.2010.01040.x,
HK0011,Adeneye,1994,Small Ruminant Research,10.1016/0921-4488(94)90071-x,
HK0014,Aderolu,2009,African Journal of Aquatic Science,10.2989/ajas.2009.34.2.3.890,
HK0017,Adewolu,2010,Israeli Journal of Aquaculture-Bamidgeh,,https://www.researchgate.net/profile/Morenike-Adewolu/publication/234888799_Evaluation_of_an_Animal_Protein_Mixture_as_a_Replacement_for_Fishmeal_in_Practical_Diets_for_Fingerlings_of_Clarias_Gariepinus_Burchell_1822/links/02bfe5102b73c8e85d000000/Evaluation-of-an-Animal-Protein-Mixture-as-a-Replacement-for-Fishmeal-in-Practical-Diets-for-Fingerlings-of-Clarias-Gariepinus-Burchell-1822.pdf
HK0026,Ajayi,2008,Animal Science,10.1111/j.1740-0929.2008.00579.x,
HK0029,Akinsoyinu,1992,Bioresource Technology,10.1016/0960-8524(92)90200-h,
HK0033,Anigbogu,2003,Asian-Australasian Journal of Animal Sciences,10.5713/ajas.2003.384,
HK0037,Annongu,2000,European Poultry Science,,https://www.european-poultry-science.com/artikel.dll/2000-65-28-32_gq4tmmbqge4q.pdf?UID=FC4CCB24FF9D15F766F56FA6AB11C0D3EAC2CAEA
HK0044.1,Balogun,1990,Animal Feed Science and Technology,10.1016/0377-8401(90)90015-z,
HK0044.2,Balogun,1990,Animal Feed Science and Technology,10.1016/0377-8401(90)90015-z,
HK0066.1,Odunsi,2005,Tropical Animal Health and Production,10.1023/b:;trop.0000048455.96694.85,
HK0066.2,Odunsi,2005,Tropical Animal Health and Production,10.1023/b:;trop.0000048455.96694.85,
HK0067,Odunsi,1995,Journal of Applied Animal Research,10.1080/09712119.1995.9706063,
HK0082,Okeudo,1993,Tropical Animal Health and Production,10.1007/bf02250877,
